NombreTelefono,Audifonos,Bluetooth,GPS,Radio,Teclado,SIM,NFC,Lector Huella,Rec Facial,Tarjeta Memoria,Disponible,SO__Apple,SO__Motorola,SO__Otra marca,SO__Samsung,Con__No,Con__Otro,Con__USB Type-C,Con__microUSB,Con__miniUSB,Horas Bateria_NORM,Horas Llamada Bateria_NORM,Bateria mAh_NORM,Peso Gramos_NORM,Resolucion Pixeles Ancho_NORM,Resolucion Pixeles Alto_NORM,Resolucion PPI_NORM,Tamano Pulgadas_NORM,RAM GB_NORM,Memoria GB_NORM,CPU GHz_NORM,Vida Bateria_NORM,Procesadores_NORM,Alto_NORM,Ancho_NORM,Grueso_NORM,Camara MP_NORM,Num Camaras_NORM,Selfie MP_NORM,Num Selfie_NORM,Video Pixeles_NORM,Video FPS_NORM,Selfie Video Pixeles_NORM,Selfie Video FPS_NORM,Precio_NORM
Huawei G9 Plus,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.18555555555555556,0.07927463707080216,0.28125,0.4444444444444444,0.4734356552538371,0.2989130434782609,0.01171875,0.0625,0.64,0.0,0.8,0.3361439010680158,0.2672645739910314,0.0983050847457627,0.14814814814814814,0.2,0.16666666666666666,0.3333333333333333,0.5,0.015625,0.1318359375,0.25,0.021538693136103584
YU Yureka S,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.17509727626459143,0.09375,0.16666666666666666,0.08522023485111233,0.28125,0.4444444444444444,0.500590318772137,0.28260869565217395,0.01171875,0.03125,0.44799999999999995,0.0,0.8,0.342327150084317,0.27533632286995513,0.11864406779661016,0.12037037037037036,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.01307711588758138
YU Yunique Plus,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.13424124513618677,0.07291666666666667,0.1111111111111111,0.06341970965664173,0.1875,0.2962962962962963,0.36835891381345925,0.2554347826086957,0.0078125,0.015625,0.192,0.0,0.4,0.0,0.0,0.0,0.07407407407407407,0.2,0.041666666666666664,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.006153807928992613
Samsung Z2,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.08333333333333333,0.08333333333333333,0.06292424317494921,0.125,0.18518518518518517,0.27508854781582054,0.2173913043478261,0.00390625,0.015625,0.24,0.0,0.4,0.268690275435638,0.22242152466367712,0.14576271186440676,0.046296296296296294,0.2,0.0,0.3333333333333333,0.087890625,0.015625,0.0,0.0,0.006153807928992613
Gionee S6s,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.1556420233463035,0.24479166666666666,0.175,0.08224743596095724,0.28125,0.4444444444444444,0.4734356552538371,0.2989130434782609,0.01171875,0.0625,0.41600000000000004,0.0,0.8,0.34176503653738055,0.2672645739910314,0.11186440677966102,0.12037037037037036,0.2,0.16666666666666666,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.021538693136103584
ZTE Blade Z Max,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.20544747081712061,0.3229166666666667,0.22666666666666666,0.08670663429618987,0.28125,0.4444444444444444,0.4332939787485242,0.32608695652173914,0.0078125,0.0625,0.44799999999999995,0.0,0.8,0.36762225969645873,0.2986547085201794,0.11186440677966102,0.14814814814814814,0.4,0.16666666666666666,0.3333333333333333,0.1318359375,0.015625,0.1318359375,0.25,0.008461577248522202
Xiaomi Redmi Note 4 (MediaTek),1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.22777777777777777,0.08670663429618987,0.28125,0.4444444444444444,0.4734356552538371,0.2989130434782609,0.0078125,0.03125,0.84,0.44623655913978494,1.0,0.33389544688026984,0.2681614349775785,0.11186440677966102,0.12037037037037036,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.087890625,0.0,0.01307711588758138
Sony Xperia X Compact,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.27626459143968873,0.11458333333333333,0.15,0.06688797502848932,0.1875,0.2962962962962963,0.37662337662337664,0.25,0.01171875,0.0625,0.368,0.3924731182795699,0.6,0.2855536818437325,0.2295964125560538,0.12542372881355932,0.21296296296296297,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.1318359375,0.25,0.016923154497044405
ZTE Blade A512,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.1411111111111111,0.06441064262002676,0.1875,0.2962962962962963,0.33293978748524206,0.28260869565217395,0.0078125,0.03125,0.22399999999999998,0.0,0.4,0.3636874648679033,0.252914798206278,0.10169491525423728,0.12037037037037036,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.009231077278118357
ZTE Blade A610,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.2222222222222222,0.0,0.1875,0.2962962962962963,0.34710743801652894,0.27173913043478265,0.00390625,0.015625,0.20800000000000002,0.0,0.4,0.3209668353007308,0.25112107623318386,0.10847457627118644,0.07407407407407407,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.009999846538455637
ZTE Blade A452,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.2222222222222222,0.07877917058910965,0.1875,0.2962962962962963,0.34710743801652894,0.27173913043478265,0.00390625,0.015625,0.16,0.0,0.4,0.3209668353007308,0.2520179372197309,0.11864406779661016,0.07407407407407407,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.0
BLU Pure XR,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.2821011673151751,0.2708333333333333,0.16666666666666666,0.07293266610513799,0.28125,0.4444444444444444,0.4734356552538371,0.2989130434782609,0.015625,0.125,0.46399999999999997,0.0,0.8,0.3412029229904441,0.2645739910313901,0.09491525423728814,0.14814814814814814,0.2,0.16666666666666666,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.0
HTC One A9s,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0.1680933852140078,0.13541666666666666,0.12777777777777777,0.07422087895753852,0.1875,0.2962962962962963,0.34710743801652894,0.27173913043478265,0.0078125,0.03125,0.44799999999999995,0.0,0.8,0.3243395165823496,0.2520179372197309,0.10508474576271186,0.12037037037037036,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.01153811582838907
alcatel Fierce 4,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.2046692607003891,0.125,0.1388888888888889,0.08120695634940296,0.1875,0.2962962962962963,0.3152302243211334,0.2989130434782609,0.0078125,0.03125,0.17600000000000002,0.0,0.4,0.33389544688026984,0.2717488789237668,0.10847457627118644,0.07407407407407407,0.2,0.10416666666666667,0.3333333333333333,0.087890625,0.015625,0.0,0.0,0.006153807928992613
Motorola Moto M,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.16944444444444445,0.08076103651587971,0.28125,0.4444444444444444,0.4734356552538371,0.2989130434782609,0.01171875,0.0625,0.624,0.2956989247311828,0.8,0.3350196739741428,0.2663677130044843,0.10508474576271186,0.14814814814814814,0.2,0.16666666666666666,0.3333333333333333,0.1318359375,0.015625,0.1318359375,0.25,0.014615385177514815
ZTE Warp 7,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.16666666666666666,0.07868007729277116,0.1875,0.2962962962962963,0.3152302243211334,0.2989130434782609,0.0078125,0.03125,0.192,0.0,0.4,0.3412029229904441,0.2681614349775785,0.12203389830508474,0.12037037037037036,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.008461577248522202
Huawei MediaPad T2 7.0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.17704280155642024,0.125,0.22777777777777777,0.13773968191051875,0.15625,0.23703703703703705,0.20070838252656434,0.3804347826086957,0.00390625,0.015625,0.24,0.0,0.4,0.4243957279370433,0.3775784753363228,0.11186440677966102,0.018518518518518517,0.2,0.041666666666666664,0.3333333333333333,0.087890625,0.015625,0.0,0.0,0.01153811582838907
Huawei MediaPad T2 7.0 Pro,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.24222222222222223,0.12386662042312838,0.28125,0.4444444444444444,0.371900826446281,0.3804347826086957,0.0078125,0.03125,0.43200000000000005,0.0,0.8,0.4148397976391231,0.3739910313901345,0.10847457627118644,0.12037037037037036,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.01769265452664056
Huawei MediaPad T2 10.0 Pro,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.37,0.24525590843779418,0.3125,0.4444444444444444,0.2668240850059032,0.5434782608695653,0.0078125,0.03125,0.43200000000000005,0.0,0.8,0.5733558178752107,0.5524663677130045,0.11186440677966102,0.07407407407407407,0.2,0.041666666666666664,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.018461423786977838
Acer Liquid Z6,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.1111111111111111,0.0624287766932567,0.1875,0.2962962962962963,0.34710743801652894,0.27173913043478265,0.00390625,0.015625,0.2,0.0,0.4,0.3220910623946037,0.2556053811659193,0.11186440677966102,0.07407407407407407,0.2,0.041666666666666664,0.3333333333333333,0.0,0.0,0.0,0.0,0.009231077278118357
Acer Liquid Z6 Plus,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.22666666666666666,0.08373383540603478,0.28125,0.4444444444444444,0.4734356552538371,0.2989130434782609,0.01171875,0.0625,0.41600000000000004,0.0,0.8,0.3406408094435076,0.2672645739910314,0.11186440677966102,0.12037037037037036,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.019230923816573996
Acer Iconia Talk S,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.09375,0.18888888888888888,0.1288212852400535,0.1875,0.2962962962962963,0.24793388429752067,0.3804347826086957,0.0078125,0.03125,0.20800000000000002,0.0,0.4,0.4243957279370433,0.3569506726457399,0.12542372881355932,0.12037037037037036,0.2,0.041666666666666664,0.3333333333333333,0.1318359375,0.015625,0.087890625,0.0,0.01307711588758138
