URL,NombreTelefono,Colores,ImagenTelefono,Marca,Disponible,Sistema Operativo,Almacenamiento,Tiene SIM,Bateria,Tiene Audifonos,Tiene Bluetooth,Cable Conexion,Camara,Camara Video,Tiene Lector Huella,Tiene Localizacion,Tiene Memoria Adicional,Tiene NFC,Tamanio,Precio Fabrica,Procesamiento,Tiene Radio,RAM,Reciente,Reconocimiento Rostro,Resolucion,Selfie,Selfie Video
https://www.gsmarena.com/vivo_v9_6gb-9258.php,vivo V9 6GB,"Black, Red",https://fdn2.gsmarena.com/vv/bigpic/vivo-v9-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Alta,Reciente,No,Media,Media,Media
https://www.gsmarena.com/oppo_a5_(ax5)-9259.php,Oppo A5 (AX5),"Blue, Pink, Red",https://fdn2.gsmarena.com/vv/bigpic/oppo-a5.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/samsung_galaxy_on6-9260.php,Samsung Galaxy On6,"Black, Gold, Blue",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on6-2018.jpg,Samsung,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Baja
https://www.gsmarena.com/vivo_z1i-9261.php,vivo Z1i,"Black, Red",https://fdn2.gsmarena.com/vv/bigpic/vivo-z1i-.jpg,Otra marca,1,android,Alta,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/samsung_galaxy_tab_s4_10_5-9262.php,Samsung Galaxy Tab S4 10.5,"Black, White",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s4-2018-r.jpg,Samsung,1,android,Media,Si,Alta,Si,Si,USB Type-C,Media,Mediana,No,Si,Si,No,Grande,Alto,Media,No,Media,Reciente,No,Baja,Media,Media
https://www.gsmarena.com/samsung_galaxy_tab_a_10_5-9263.php,Samsung Galaxy Tab A 10.5,"Black, Blue, White",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a-105-.jpg,Samsung,1,android,Media,Si,Alta,Si,Si,USB Type-C,Media,Mediana,No,Si,Si,No,Grande,Medio,Media,No,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/samsung_galaxy_tab_advanced2-9264.php,Samsung Galaxy Tab Advanced2,Gray,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-advanced2-sm-t583.jpg,Samsung,1,android,Media,No,Alta,Si,Si,USB Type-C,Media,Mediana,No,Si,Si,No,Grande,Medio,Media,No,Media,Reciente,No,Media,Baja,Media
https://www.gsmarena.com/huawei_y7_(2018)-9265.php,Huawei Y7 (2018),"Black, Gold, Blue",https://fdn2.gsmarena.com/vv/bigpic/huawei-y7-prime-2018.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/lava_z91_(2gb)-9266.php,Lava Z91 (2GB),Blue,https://fdn2.gsmarena.com/vv/bigpic/lava-z91.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Baja,Si,Media,Reciente,No,Media,Media,Baja
https://www.gsmarena.com/huawei_nova_3-9267.php,Huawei nova 3,"Iris Purple, Airy blue, Primrose Gold, Red, Black",https://fdn2.gsmarena.com/vv/bigpic/huawei-nova3.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Media,No,Alta,Reciente,Si,Media,Alta,Media
https://www.gsmarena.com/sony_xperia_xa2_plus-9268.php,Sony Xperia XA2 Plus,"Silver, Black, Gold, Green",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-plus-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/oppo_a3s-9269.php,Oppo A3s,"Red, Dark Purple",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3s.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/motorola_moto_e5_play_go-9270.php,Motorola Moto E5 Play Go,"Black, Dark lake, Flash gray",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e5-play-android-go-edition.jpg,Motorola,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Chico,Bajo,Baja,Si,Baja,Reciente,No,Media,Media,Baja
https://www.gsmarena.com/alcatel_5v-9271.php,alcatel 5v,"Black, Blue",https://fdn2.gsmarena.com/vv/bigpic/alcatel-5v.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/huawei_p_smart+_2019-9272.php,Huawei P Smart+ 2019,"Starlight Blue, Midnight Black",https://fdn2.gsmarena.com/vv/bigpic/huawei-p-smart-plus-2019-starlight-blue.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/sharp_aquos_c10-9274.php,Sharp Aquos C10,Black,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-c10-.jpg,Otra marca,1,android,Media,Si,Baja,No,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/sharp_aquos_b10-9275.php,Sharp Aquos B10,Black,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-b10-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/lava_z61-9276.php,Lava Z61,"Gold, Black",https://fdn2.gsmarena.com/vv/bigpic/lava-z61.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Mediano,Bajo,Baja,Si,Baja,Reciente,No,Media,Media,Baja
https://www.gsmarena.com/blu_studio_g4-9277.php,BLU Studio G4,"Black, Gold, Blue",https://fdn2.gsmarena.com/vv/bigpic/blu-studio-g4.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Mediana,No,Si,Si,No,Chico,Bajo,Baja,Si,Baja,Reciente,No,Baja,Media,Baja
https://www.gsmarena.com/lg_k11_plus-9278.php,LG K11 Plus,"Moroccan Blue, Terra Gold, Black",https://fdn2.gsmarena.com/vv/bigpic/lg-k11-plus.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Baja,Media,Media
https://www.gsmarena.com/meizu_16_plus-9279.php,Meizu 16 Plus,"Black, White",https://fdn2.gsmarena.com/vv/bigpic/meizu-16-plus.jpg,Otra marca,1,android,Alta,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,No,No,Mediano,Alto,Media,No,Alta,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/meizu_16-9280.php,Meizu 16,"Black, White",https://fdn2.gsmarena.com/vv/bigpic/meizu-16.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,No,No,Mediano,Alto,Media,No,Alta,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/blackberry_evolve-9281.php,BlackBerry Evolve,Black,https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/blackberry_evolve_x-9282.php,BlackBerry Evolve X,Black,https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Mediano,Alto,Media,Si,Alta,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/motorola_moto_z3-9283.php,Motorola Moto Z3,Ceramic Black,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-z3-play-.jpg,Motorola,1,android,Media,Si,Media,No,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
