Categoria,Columna,Peso,Valor,ValorFlt,Posicion
Resolucion,Resolucion PPI,0.4,460,-1.0,0.86
Resolucion,Resolucion PPI,0.4,476,-1.0,0.86
Resolucion,Resolucion PPI,0.4,456,-1.0,0.86
Resolucion,Resolucion PPI,0.4,406,-1.0,0.86
Resolucion,Resolucion PPI,0.4,421,-1.0,1.0
Resolucion,Resolucion PPI,0.4,212,-1.0,1.0
Resolucion,Resolucion PPI,0.4,440,-1.0,1.0
Selfie,Num Selfie,0.1,1,-1.0,0.25
Selfie,Num Selfie,0.1,2,-1.0,0.75
Selfie,Num Selfie,0.1,0,-1.0,0.75
Selfie,Num Selfie,0.1,3,-1.0,1.0
Selfie,Selfie MP,0.9,2.0,2.0,0.33
Selfie,Selfie MP,0.9,3.9765970215683666,3.9765970215683666,0.67
Selfie,Selfie MP,0.9,14.051475936405414,14.051475936405414,1.0
Selfie Video,Selfie Video FPS,0.2,30.0,30.0,0.33
Selfie Video,Selfie Video FPS,0.2,29.826406867991405,29.826406867991405,0.67
Selfie Video,Selfie Video FPS,0.2,34.177279401234244,34.177279401234244,1.0
Selfie Video,Selfie Video Pixeles,0.8,720.0,720.0,0.33
Selfie Video,Selfie Video Pixeles,0.8,877.4054389809618,877.4054389809618,0.67
Selfie Video,Selfie Video Pixeles,0.8,1417.1508534530021,1417.1508534530021,1.0
